"species","treatment","lambda","germination","survival","nu"
"AVFA","dry",31.15,0.56,0.11,"18.3312316099201"
"AVFA","wet",24.21,0.56,0.11,"14.2471626733922"
"BRHO","dry",412.16,0.93,0.02,"383.846184658522"
"BRHO","wet",1150.98,0.93,0.02,"1071.91207690767"
"ESCA","dry",220.82,0.92,0.02,"203.479967948718"
"ESCA","wet",11.1,0.92,0.02,"10.2283653846154"
"LACA","dry",487.94,0.2,0.01,"98.375"
"LACA","wet",1228.51,0.2,0.01,"247.683467741935"
"VUMY","dry",385.5,0.6,0.01,"232.228915662651"
"VUMY","wet",1981.61,0.6,0.01,"1193.74096385542"
